	fuselage (270 polys, 810 verts) 'texture'
			LeftBay (82 polys, 246 verts) '02 - Par défaut'
				LeftMainStruct (414 polys, 1242 verts) 'Texture_noshine'
					LeftPiston (124 polys, 372 verts) 'Texture_noshine'
						LeftSupp (24 polys, 72 verts) 'Texture_noshine'
							LeftGear (212 polys, 636 verts) 'Texture_noshine'
						Objet09 (36 polys, 108 verts) 'Texture_metal'
					trappe_gau (14 polys, 42 verts) 'texture'
						Objet04 (40 polys, 120 verts) 'Texture_noshine'
		interieur_inner_flaps (10 polys, 30 verts) '02 - Par défaut'
		l_flap1 (6 polys, 18 verts) 'texture'
			dessus_lfl (2 polys, 6 verts) '02 - Par défaut'
		Door (2 polys, 6 verts) 'texture'
			int_portie (10 polys, 30 verts) 'Texture_noshine'
		filtre_cen (94 polys, 282 verts) 'texture'
			Objet11 (10 polys, 30 verts) '02 - Par défaut'


Total:    (9650 polys, 28950 verts)
Mesh Max: (480 polys, 1440 verts)
